Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	FinalScore	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossEnt	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
65	200.0	0.34450048	0.106506445	0.9178305	0.16377927	0.4397732	13.69652	3.713137	36.168304	9.213591	13200	-0.0016352304	-0.5450767	0.5611187	7.925439e-06	-0.0072060227	0.5450767	0.0006999891	0.0	99.0	5156.822053432465
66	200.0	0.35020185	0.11775002	0.9203007	0.15269351	0.45264125	14.173765	3.9196854	36.21548	9.590949	13400	-0.0016337836	-0.54459476	0.6050436	7.251161e-06	-0.0042432547	0.54459476	0.0009890468	0.0	99.0	5233.217919111252
67	200.0	0.408515	0.11865468	0.9853927	0.17693979	0.5124094	14.881964	3.8635685	37.361717	8.912488	13600	-0.001633734	-0.54457825	0.69473463	-6.149651e-05	1.9669533e-05	0.54457825	0.000988	0.0	99.0	5309.866011857986
68	200.0	0.36529642	0.120133005	0.96659136	0.1777808	0.46923846	14.242634	4.1336546	37.275124	9.088609	13800	-0.001628989	-0.5429963	0.6352636	-4.156248e-05	0.004033923	0.54299635	0.00060893386	0.0	99.0	5386.314620733261
69	200.0	0.34758496	0.09916627	0.9584555	0.1522216	0.43667847	13.912478	3.3963878	36.567703	9.633525	14000	-0.0016300859	-0.54336214	0.54047	-4.2217434e-05	0.011331379	0.5433622	0.0011651911	0.0	99.0	5462.687312602997
70	200.0	0.32138544	0.09808075	0.932843	0.1618359	0.41422755	13.264041	3.3779957	36.555637	9.207828	14200	-0.0016277415	-0.5425804	0.50325286	-1.6344711e-05	0.0006836653	0.5425804	0.00064124377	0.0	99.0	5542.798099279404
71	200.0	0.2972365	0.09316226	0.83716136	0.13697259	0.3754883	13.303773	3.0663044	36.781605	9.731414	14400	-0.0016230497	-0.5410165	0.45684183	-4.3468433e-05	-0.0038502812	0.54101646	0.0011900893	0.0	99.0	5622.871291399002
72	200.0	0.39653116	0.12157199	0.9382251	0.19098258	0.5010082	14.608795	4.157792	36.984673	9.199761	14600	-0.0016299174	-0.54330564	0.686801	-2.902362e-05	-0.018362343	0.54330564	0.00091050414	0.0	99.0	5702.246893167496
73	200.0	0.34491047	0.10009475	0.85385376	0.15514106	0.43951416	14.124135	3.4811575	36.683594	9.689036	14800	-0.001629117	-0.5430393	0.5611368	1.2394157e-05	-0.004032433	0.5430393	0.00044419663	0.0	99.0	5779.160432338715
74	200.0	0.36578283	0.12937282	0.9380138	0.16860533	0.47477397	14.599204	4.653994	36.732655	9.714696	15000	-0.0016305618	-0.5435204	0.698193	-3.3783843e-05	0.0058814287	0.5435205	0.00053628423	0.0	99.0	5855.629433870316
75	200.0	0.31481758	0.098351225	0.7976603	0.14401388	0.40233153	13.521255	3.2282343	37.11281	9.812178	15200	-0.0016273145	-0.54243827	0.48783854	-0.0001215447	-0.0020875633	0.54243827	0.0009956803	0.0	99.0	5935.089057683945
76	200.0	0.34127203	0.10583192	0.9904549	0.16311401	0.43511307	13.761507	3.284849	36.731686	9.301639	15400	-0.0016325226	-0.54417396	0.52791053	-4.9437163e-05	-0.0003310442	0.544174	0.0006131839	0.0	99.0	6011.689041376114
77	200.0	0.32320997	0.103240296	0.9392397	0.16483697	0.41713032	13.599803	3.3645234	35.636593	9.809528	15600	-0.0016333349	-0.544445	0.5087748	-6.0423277e-05	0.0006096959	0.544445	0.00077416823	0.0	99.0	6088.021142482758
78	200.0	0.29771453	0.09948193	0.8330083	0.110358045	0.38547295	13.18668	3.3973618	36.385704	9.566919	15800	-0.0016313429	-0.54378104	0.48861638	-4.142383e-05	-0.00014662743	0.54378116	0.0009546999	0.0	99.0	6167.9932334423065
79	200.0	0.3135514	0.10891713	0.82739717	0.12045886	0.4046751	12.905636	3.6397564	35.50752	8.896468	16000	-0.001626124	-0.5420406	0.5015124	3.307825e-06	0.0024591684	0.54204065	0.00062747416	0.0	99.0	6249.074109792709
80	200.0	0.3672394	0.11068037	0.9271359	0.1849252	0.46176594	13.256613	3.7705479	35.088226	8.445375	16200	-0.0016307173	-0.5435726	0.59416425	-4.32065e-05	-0.014834225	0.54357266	0.0011256936	0.0	99.0	6325.401139974594
81	200.0	0.23377472	0.07926092	0.96046054	0.103926495	0.30333495	11.520717	2.5224278	36.6323	8.821012	16400	-0.0016303061	-0.54343516	0.33602554	-1.7149723e-05	0.003307879	0.5434352	0.0006093114	0.0	99.0	6401.655871629715
82	200.0	0.34965986	0.103698514	0.9149027	0.16080451	0.44441247	13.310745	3.6823397	36.6014	8.820887	16600	-0.0016294227	-0.5431412	0.554335	-3.1853793e-05	-0.013831496	0.5431411	0.0010553487	0.0	99.0	6481.421226501465
83	200.0	0.35820952	0.099333555	0.8779257	0.16780058	0.4492947	13.63588	3.4283357	35.665455	8.856745	16800	-0.0016192324	-0.5397442	0.55073094	-3.089581e-05	0.0023697019	0.5397443	0.0013734956	0.0	99.0	6561.532390117645
84	200.0	0.36645815	0.10333095	0.8838799	0.1573474	0.46222344	13.729881	3.6880236	36.177322	9.024077	17000	-0.0016213924	-0.5404639	0.58942497	-8.187618e-05	-0.020918012	0.5404639	0.00094505213	0.0	99.0	6638.076338291168
85	200.0	0.28286567	0.095695086	0.79742205	0.13506365	0.36361882	13.293567	3.1880658	37.887917	9.708521	17200	-0.0016207943	-0.54026455	0.4675021	-8.721987e-05	-0.0049078465	0.54026455	0.0012346569	0.0	99.0	6714.385923624039
86	200.0	0.3166812	0.100808255	0.9332244	0.1448831	0.40236047	13.582777	3.3106494	37.710793	9.598709	17400	-0.0016269751	-0.5423249	0.49220863	-5.482859e-05	0.0018287003	0.5423249	0.0010777737	0.0	99.0	6795.924833059311
87	200.0	0.34356186	0.11091257	0.8482209	0.14951833	0.43659687	14.104924	3.7338138	37.409454	10.018059	17600	-0.001631919	-0.54397273	0.57305	-4.0136394e-05	0.00625813	0.5439728	0.00095581124	0.0	99.0	6872.423542976379
88	200.0	0.320363	0.09461305	0.995235	0.13804726	0.40869975	13.466458	2.911358	36.65707	9.250768	17800	-0.0016272013	-0.5424003	0.46714327	1.3296143e-05	0.0035140812	0.5424003	0.0006290275	0.0	99.0	6948.808626174927
89	200.0	0.29057282	0.09243141	0.821136	0.12766759	0.37740713	13.138453	2.8887215	35.437263	9.665177	18000	-0.0016223681	-0.5407895	0.44607848	-3.3963937e-05	-0.00279361	0.5407895	0.0013583656	0.0	99.0	7025.247004985809
90	200.0	0.3120611	0.089103475	0.87708795	0.14204559	0.39275962	13.328915	2.829901	34.63257	9.809255	18200	-0.0016182758	-0.5394252	0.45985264	-3.6656857e-05	0.005607784	0.5394251	0.0013939468	0.0	99.0	7105.312207221985
91	200.0	0.2848	0.09688476	0.7753316	0.119193085	0.3652447	13.441536	3.1623774	37.389915	10.115331	18400	-0.0016181216	-0.5393739	0.46563306	-7.588044e-05	-0.013262302	0.53937393	0.00203899	0.0	99.0	7185.0062074661255
92	200.0	0.3131172	0.104651175	0.9037808	0.14613536	0.40110272	13.379005	3.3369718	37.44843	9.703933	18600	-0.0016245397	-0.5415134	0.49526122	-2.1669082e-05	-0.00018391013	0.5415133	0.00070037605	0.0	99.0	7261.528111457825
